id,headline,category,primary_country,event_type,severity_pct,estimated_goldstein,avg_tone,affected_commodities,affected_states,risk_label
1,"Trump imposes 50% tariff on all Indian exports citing Russian oil purchases effective August 27 2025",USA Tariff & Trade War,USA,TARIFF,50,-7.2,-4.8,"Rice,Cotton,Spices,Shrimp","Punjab,Gujarat,Andhra Pradesh,Kerala",CRITICAL
2,"US announces additional 25% penalty tariff on India over continued Russian crude imports",USA Tariff & Trade War,USA,TARIFF,25,-6.5,-4.1,"Rice,Cotton,Spices","Punjab,Gujarat,Tamil Nadu",HIGH
3,"US-India interim trade deal eliminates punitive 25% tariff on Indian goods effective February 2026",USA Tariff & Trade War,USA,DIPLOMATIC,25,3.5,2.8,"Rice,Cotton,Spices,Dairy","Punjab,Gujarat,Andhra Pradesh",LOW
4,"Trump threatens India with 100% tariffs via G7 unless Russian oil purchases halted",USA Tariff & Trade War,USA,TARIFF,100,-8.1,-5.2,"Rice,Cotton,Shrimp,Spices","Punjab,Gujarat,Kerala,West Bengal",CRITICAL
5,"India refuses to open agricultural sector to US dairy and grain imports in bilateral trade talks",USA Tariff & Trade War,USA,TRADE_POLICY,30,-3.2,-2.1,"Wheat,Dairy,Maize","Uttar Pradesh,Punjab,Haryana",MEDIUM
6,"US reciprocal tariff on India set at 18% under new interim trade framework signed February 2026",USA Tariff & Trade War,USA,TARIFF,18,-4.8,-3.0,"Rice,Cotton,Spices","Punjab,Gujarat,Andhra Pradesh",MEDIUM
7,"India commits to zero tariff on US soybean oil tree nuts and dried distillers grains in trade deal",USA Tariff & Trade War,USA,DIPLOMATIC,0,2.1,1.5,"Edible Oil,Soybean","Madhya Pradesh,Rajasthan",LOW
8,"Indian rice wheat dairy and spices excluded from US-India bilateral trade agreement concessions",USA Tariff & Trade War,USA,TRADE_POLICY,40,-5.1,-3.4,"Rice,Wheat,Spices,Dairy","Punjab,Haryana,Kerala",HIGH
9,"US Section 232 steel and aluminum tariffs on India partially lifted under Phase 1 interim agreement",USA Tariff & Trade War,USA,DIPLOMATIC,15,1.8,1.2,"Cotton,Textile","Gujarat,Maharashtra",LOW
10,"Trump warns India no trade negotiations until Russian oil sanctions dispute is resolved",USA Tariff & Trade War,USA,SANCTION,35,-6.0,-4.0,"Rice,Cotton,Spices","Punjab,Gujarat,Kerala",HIGH
11,"India basmati rice and cotton exports to US face 50% duty crushing export competitiveness",USA Tariff & Trade War,USA,TARIFF,50,-7.0,-4.5,"Rice,Cotton","Punjab,Haryana,Gujarat",CRITICAL
12,"Indian shrimp textile and gems exporters face 70% export collapse under 50% US tariff regime",USA Tariff & Trade War,USA,TARIFF,70,-7.8,-5.0,"Shrimp,Cotton","Andhra Pradesh,Gujarat,West Bengal",CRITICAL
13,"US and Israel launch coordinated airstrikes on Iran killing Supreme Leader Khamenei on February 28 2026",Iran-Israel-Hormuz Conflict,IRAN,CONFLICT,90,-9.5,-7.2,"Rice,Fuel,Edible Oil,Spices","Punjab,Gujarat,Kerala,Andhra Pradesh",CRITICAL
14,"Iran IRGC broadcasts VHF warning to all ships Strait of Hormuz is closed violators will be set ablaze",Iran-Israel-Hormuz Conflict,IRAN,CONFLICT,85,-9.8,-7.8,"Rice,Wheat,Fuel,Fertilizer","Nationwide",CRITICAL
15,"Over 200 ships stranded inside Persian Gulf as Strait of Hormuz closes to commercial shipping",Iran-Israel-Hormuz Conflict,IRAN,CONFLICT,80,-9.0,-6.5,"Rice,Fuel,Edible Oil,Fertilizer","Nationwide",CRITICAL
16,"38 Indian ships stuck in Persian Gulf as Hormuz blockade halts tanker traffic across the region",Iran-Israel-Hormuz Conflict,IRAN,CONFLICT,75,-8.8,-6.2,"Rice,Fuel,Fertilizer","Punjab,Gujarat,Andhra Pradesh",CRITICAL
17,"Crude oil surges 36% in single week as Strait of Hormuz crisis disrupts 20% of global oil supply",Iran-Israel-Hormuz Conflict,IRAN,CONFLICT,36,-8.5,-6.0,"Fuel,Fertilizer,Edible Oil","Nationwide",CRITICAL
18,"Brent crude oil jumps toward $100 per barrel as Iran threatens sustained Hormuz shipping closure",Iran-Israel-Hormuz Conflict,IRAN,ECONOMIC,60,-7.5,-5.5,"Fuel,Fertilizer,Edible Oil","Nationwide",CRITICAL
19,"India invokes emergency powers directing refiners to maximize LPG production amid Hormuz supply shock",Iran-Israel-Hormuz Conflict,IRAN,ECONOMIC,50,-6.0,-4.2,"Fuel,Fertilizer","Nationwide",HIGH
20,"Shipping insurance premiums for Hormuz transit jump 50% overnight as risk zone declared",Iran-Israel-Hormuz Conflict,IRAN,CONFLICT,50,-7.0,-5.0,"Rice,Spices,Edible Oil","Gujarat,Kerala,Andhra Pradesh",HIGH
21,"Basmati rice export lanes from India to UAE and Saudi Arabia disrupted by Hormuz shipping halt",Iran-Israel-Hormuz Conflict,IRAN,CONFLICT,65,-8.0,-5.8,"Rice,Spices","Punjab,Haryana",CRITICAL
22,"India urea and fertilizer imports at risk as 30% supply from Gulf region faces Hormuz disruption",Iran-Israel-Hormuz Conflict,IRAN,CONFLICT,30,-7.2,-5.2,"Fertilizer,Urea","Nationwide",CRITICAL
23,"Indian oil tanker Skylight struck by IRGC projectile near Khasab Oman killing two Indian crew members",Iran-Israel-Hormuz Conflict,IRAN,CONFLICT,70,-9.2,-7.0,"Fuel,Rice","Gujarat,Andhra Pradesh",CRITICAL
24,"Sulphur supply to India could drop 44% and urea supply fall 30% as Gulf conflict escalates",Iran-Israel-Hormuz Conflict,IRAN,CONFLICT,44,-8.0,-6.0,"Fertilizer,Urea,Sulphur","Nationwide",CRITICAL
25,"China imposes urea fertilizer export quota of 2 million metric tons restricting global nitrogen supply",Fertilizer & Input Cost Shocks,CHINA,TRADE_POLICY,60,-6.5,-4.5,"Fertilizer,Urea","Nationwide",HIGH
26,"EU bans Russian nitrogen fertilizer imports forcing global supply rerouting to India and Brazil",Fertilizer & Input Cost Shocks,EU,SANCTION,50,-5.8,-4.0,"Fertilizer,Urea","Nationwide",HIGH
27,"EU 19th Russia sanctions package closes LPG loophole tightening energy and fertilizer flows to India",Fertilizer & Input Cost Shocks,EU,SANCTION,45,-5.5,-3.8,"Fertilizer,Fuel","Nationwide",HIGH
28,"DAP diammonium phosphate prices rise 26% in 2025 as China restricts phosphate exports globally",Fertilizer & Input Cost Shocks,CHINA,ECONOMIC,26,-5.0,-3.5,"Fertilizer,DAP","Nationwide",HIGH
29,"Russia redirects fertilizer exports from Europe to India and Brazil following EU sanctions package",Fertilizer & Input Cost Shocks,RUSSIA,DIPLOMATIC,30,1.5,1.0,"Fertilizer,Urea","Nationwide",LOW
30,"India imports 46% of urea from Oman with Gulf Hormuz crisis now threatening Kharif season supply",Fertilizer & Input Cost Shocks,IRAN,CONFLICT,46,-7.5,-5.5,"Fertilizer,Urea","Nationwide",CRITICAL
31,"Global potash prices rise 19% as Belarus remains under EU sanctions blocking key supply routes",Fertilizer & Input Cost Shocks,EU,SANCTION,19,-4.5,-3.0,"Fertilizer,Potash","Nationwide",MEDIUM
32,"India two-month urea buffer stock faces depletion risk as Gulf shipping disruption extends beyond 30 days",Fertilizer & Input Cost Shocks,IRAN,CONFLICT,55,-7.0,-5.0,"Fertilizer,Urea","Nationwide",CRITICAL
33,"US penalizes India with additional 25% tariff for buying discounted Russian crude oil defying sanctions",Russia-Ukraine-Sanctions,USA,SANCTION,25,-6.8,-4.8,"Fuel,Fertilizer","Nationwide",HIGH
34,"India Russia imports reach $68 billion in 2024 with crude oil fertilizer and sunflower oil dominating",Russia-Ukraine-Sanctions,RUSSIA,ECONOMIC,40,-2.0,-1.0,"Fuel,Fertilizer,Edible Oil","Nationwide",MEDIUM
35,"Russia supplies 80 to 90 percent of India diammonium phosphate imports exposing farm input security risk",Russia-Ukraine-Sanctions,RUSSIA,ECONOMIC,50,-3.5,-2.5,"Fertilizer,DAP","Nationwide",MEDIUM
36,"Russia diverts sunflower oil and grain exports to India as EU-Russia sanctions block European trade lanes",Russia-Ukraine-Sanctions,RUSSIA,DIPLOMATIC,35,1.2,0.8,"Edible Oil,Wheat","Rajasthan,Gujarat",LOW
37,"Ukraine war disruption continues to elevate global wheat and sunflower oil prices into 2025",Russia-Ukraine-Sanctions,UKRAINE,CONFLICT,40,-5.5,-3.8,"Wheat,Edible Oil","Punjab,Haryana,Uttar Pradesh",HIGH
38,"EU bans Russian LNG under 19th sanctions package raising gas and fertilizer production costs globally",Russia-Ukraine-Sanctions,EU,SANCTION,40,-5.0,-3.5,"Fertilizer,Fuel","Nationwide",HIGH
39,"China restricts rare earth and phosphate exports tightening global fertilizer and agricultural input supply",China Trade & Export Controls,CHINA,TRADE_POLICY,55,-6.2,-4.3,"Fertilizer,DAP,Phosphate","Nationwide",HIGH
40,"China urea exports drop 90% year on year as Beijing prioritizes domestic food security over global trade",China Trade & Export Controls,CHINA,TRADE_POLICY,90,-7.5,-5.5,"Fertilizer,Urea","Nationwide",CRITICAL
41,"China imposes export quotas on urea effective May 2025 tightening nitrogen fertilizer supply for India",China Trade & Export Controls,CHINA,TRADE_POLICY,65,-6.8,-4.8,"Fertilizer,Urea","Nationwide",HIGH
42,"India China trade tension rises as Beijing restricts phosphate exports critical for Indian agriculture",China Trade & Export Controls,CHINA,SANCTION,45,-5.8,-4.0,"Fertilizer,DAP","Nationwide",HIGH
43,"India-UAE CEPA expanded giving Indian spice and basmati rice exporters preferential tariff access",Regional Trade & Opportunities,UAE,DIPLOMATIC,0,4.2,3.0,"Spices,Rice","Kerala,Punjab,Andhra Pradesh",LOW
44,"India signs grain storage MoU with Kenya opening Africa agri-export corridor for rice and wheat",Regional Trade & Opportunities,UAE,DIPLOMATIC,0,3.8,2.5,"Rice,Wheat","Punjab,Haryana",LOW
45,"Bangladesh floods destroy 40% of Boro rice crop creating $120 million export opportunity for India",Regional Trade & Opportunities,BANGLADESH,CLIMATE,40,-2.3,1.5,"Rice,Wheat","West Bengal,Andhra Pradesh",MEDIUM
46,"Pakistan political crisis and currency collapse disrupts cross-border wheat and onion trade with India",Regional Trade & Opportunities,PAKISTAN,ECONOMIC,35,-3.4,-2.5,"Wheat,Onion","Punjab,Rajasthan",MEDIUM
47,"India Vietnam MoU signed for rice export partnership 2025 to 2027 opening new ASEAN corridor",Regional Trade & Opportunities,VIETNAM,DIPLOMATIC,0,4.5,3.2,"Rice","Andhra Pradesh,West Bengal,Punjab",LOW
48,"Malaysia imposes export tax on palm oil pushing edible oil import costs higher for Indian consumers",Regional Trade & Opportunities,MALAYSIA,TRADE_POLICY,20,-4.0,-2.8,"Edible Oil,Palm Oil","Gujarat,West Bengal,Andhra Pradesh",MEDIUM
49,"Sri Lanka lifts India onion import ban restoring trade flow worth $45 million annually",Regional Trade & Opportunities,SRI LANKA,DIPLOMATIC,0,2.1,1.8,"Onion","Maharashtra,Karnataka",LOW
50,"India EU free trade agreement negotiations accelerate as both sides seek to diversify away from US dependency",Regional Trade & Opportunities,EU,DIPLOMATIC,0,3.2,2.2,"Spices,Rice,Cotton","Kerala,Punjab,Gujarat",LOW
